Member_number,Groceries
1042,"beef,bottled water,citrus fruit,dessert,other vegetables,whole milk"
1043,"chocolate marshmallow,citrus fruit,napkins,rolls/buns,sliced cheese,tropical fruit,whole milk"
1044,"curd,other vegetables,root vegetables,tropical fruit"
1045,"Instant food products,butter,chicken,fruit/vegetable juice,onions,root vegetables,specialty chocolate,yogurt"
1046,"bottled water,pastry,pork,whole milk"
1047,"butter,curd,pip fruit,soda,sweet spreads"
1048,"condensed milk,rolls/buns,soda,tropical fruit,whole milk"
1049,"butter,candy,frankfurter,herbs,margarine,specialty bar,white bread,whole milk"
1050,"UHT-milk,beverages,cat food,dishes,house keeping products,hygiene articles,meat,other vegetables,pasta,waffles,whipped/sour cream,whole milk,yogurt"
1051,"bottled beer,coffee,cream cheese ,dishes,female sanitary products,fish,frozen vegetables,hamburger meat,other vegetables,popcorn,pork,red/blush wine,rolls/buns,shopping bags,soda,tropical fruit"
1052,"beef,beverages,bottled water,butter,butter milk,chewing gum,chicken,coffee,detergent,dog food,frankfurter,grapes,hamburger meat,margarine,other vegetables,pork,root vegetables,shopping bags,soda,soft cheese,whipped/sour cream,whole milk,yogurt"
1053,"chicken,frozen vegetables,hamburger meat,other vegetables,pastry,rolls/buns,soda,sugar,waffles,whole milk"
1054,"bottled beer,citrus fruit,frankfurter,fruit/vegetable juice,margarine,oil,other vegetables,photo/film,soda"
1055,"bottled water,newspapers,pork,soda,white wine,yogurt"
1056,"ham,meat spreads,other vegetables,pip fruit,whipped/sour cream,whole milk"
1057,"UHT-milk,domestic eggs,pickled vegetables,salty snack,sliced cheese,soda,tropical fruit"
1058,"bottled water,chicken,other vegetables,root vegetables,sausage,yogurt"
1059,"cling film/bags,dessert,salty snack,sausage,spread cheese"
1061,"Instant food products,beef,beverages,bottled beer,chocolate,dessert,fruit/vegetable juice,hard cheese,margarine,root vegetables,soda,tropical fruit,whipped/sour cream,whole milk"
1062,"butter,frozen fruits,ham,ketchup,long life bakery product,other vegetables,sauces,shopping bags,tropical fruit,whipped/sour cream,white bread,whole milk,yogurt"
1063,"candy,citrus fruit,rolls/buns,whole milk"
1064,"cream cheese ,long life bakery product,other vegetables,rolls/buns,root vegetables,whole milk"
1065,"beef,dessert,frankfurter,frozen fish,hamburger meat,long life bakery product,red/blush wine,rolls/buns,rum,soda,tropical fruit,whole milk"
1066,"bottled beer,oil,other vegetables,root vegetables,shopping bags,whole milk"
1067,"chocolate,coffee,hamburger meat,pork,rolls/buns,tropical fruit,whole milk"
1068,"pork,soda,spread cheese,yogurt"
1069,"bottled beer,brown bread,dishes,domestic eggs,fruit/vegetable juice,pork,rolls/buns,salt,sliced cheese,tropical fruit"
1070,"citrus fruit,cream cheese ,newspapers,red/blush wine"
1071,"fruit/vegetable juice,roll products ,yogurt"
1072,"canned beer,frankfurter,ham,other vegetables"
1073,"bottled water,brown bread,curd,dishes,domestic eggs,finished products,pip fruit,prosecco,salt,yogurt"
1074,"candy,detergent,flower (seeds),fruit/vegetable juice,instant coffee,ketchup,misc. beverages,oil,semi-finished bread,shopping bags"
1075,"UHT-milk,bottled water,canned fish,citrus fruit,dishes,frankfurter,frozen meals,fruit/vegetable juice,pip fruit,rolls/buns"
1076,"bottled water,brown bread,butter,chicken,coffee,frankfurter,ham,sausage,whole milk"
1077,"artif. sweetener,brown bread,butter,canned beer,other vegetables,pasta,pastry,rolls/buns,root vegetables,soda,tropical fruit,white bread"
1078,"chicken,coffee,curd,frankfurter,rolls/buns,soda,white bread"
1079,"bottled water,napkins,onions,red/blush wine,rolls/buns,sweet spreads"
1080,"canned beer,frozen vegetables,pet care,root vegetables,soda"
1081,"baking powder,beverages,bottled beer,butter milk,coffee,frankfurter,newspapers,other vegetables,pastry,specialty bar,tropical fruit,whole milk,yogurt"
1082,"beef,bottled water,hygiene articles,margarine,other vegetables"
1083,"bathroom cleaner,hamburger meat,pork,sliced cheese,soda,specialty chocolate,whole milk"
1084,"other vegetables,pip fruit"
1085,"citrus fruit,newspapers,other vegetables,root vegetables,shopping bags,soda,yogurt"
1086,"beef,butter,canned beer,citrus fruit,curd,herbs,ice cream,margarine,other vegetables,rolls/buns,soda,whipped/sour cream"
1087,"berries,beverages,cake bar,chocolate,coffee,flower (seeds),ham,herbs,jam,other vegetables,pip fruit,pot plants,sausage,soda,specialty chocolate,white bread,whole milk"
1088,"baking powder,berries,domestic eggs,hard cheese,meat,other vegetables,tropical fruit,whole milk,yogurt"
1089,"sauces,yogurt"
1090,"beef,detergent,dishes,ice cream,napkins,pastry,sausage,specialty chocolate,whisky,whole milk,yogurt"
1092,"Instant food products,bottled beer,bottled water,domestic eggs,frankfurter,frozen vegetables,grapes,newspapers,other vegetables,photo/film,rolls/buns,root vegetables,salty snack,sausage,shopping bags,soda,specialty bar,yogurt"
1093,"dessert,domestic eggs"
1094,"brown bread,chocolate marshmallow,detergent,flour,hamburger meat,misc. beverages,newspapers,other vegetables,pasta,root vegetables,salty snack,sausage,soda,tropical fruit,waffles,whole milk"
1095,"bottled water,domestic eggs,flour,packaged fruit/vegetables,pickled vegetables,pork,shopping bags,yogurt"
1096,"fruit/vegetable juice,pip fruit"
1097,"bottled water,cake bar,curd,frankfurter,hard cheese,root vegetables,sausage,shopping bags,soda,tropical fruit,whipped/sour cream,whole milk"
1098,"bottled water,candy,canned beer,cat food,citrus fruit,dessert,frankfurter,frozen vegetables,grapes,hard cheese,napkins,other vegetables,rolls/buns,root vegetables,shopping bags,specialty chocolate,tropical fruit,whole milk,yogurt"
1099,"brown bread,instant coffee,pip fruit,pork,root vegetables,spread cheese"
1100,"butter,butter milk,grapes,hamburger meat,hygiene articles,pasta,pudding powder,soda,whole milk,yogurt"
1101,"brown bread,other vegetables,processed cheese,rolls/buns,sparkling wine,whipped/sour cream,whole milk"
1102,"beverages,brown bread,candy,detergent,frozen vegetables,other vegetables,root vegetables,white bread,white wine,yogurt"
1103,"candles,chicken,cream,herbs,hygiene articles,ice cream,pastry,tea,waffles,yogurt"
1104,"domestic eggs,herbs,other vegetables,pork,rolls/buns,root vegetables,whole milk,yogurt"
1105,"bottled water,other vegetables,tropical fruit,white bread,whole milk,yogurt"
1107,"beef,chicken,citrus fruit,liver loaf,misc. beverages,newspapers,onions,pastry,rolls/buns,semi-finished bread,shopping bags,specialty fat,spread cheese,whole milk"
1108,"brown bread,canned beer,frozen potato products,grapes,oil,pastry,salty snack,shopping bags,specialty cheese,whipped/sour cream,whole milk"
1109,"chocolate,citrus fruit,curd,frozen vegetables,margarine,pastry,pip fruit,salty snack,sugar,whole milk"
1110,"baking powder,bottled water,butter,chocolate,curd,dishes,ham,liquor,margarine,pastry,pickled vegetables,salty snack,soda,whole milk,yogurt"
1111,"UHT-milk,beef,bottled water,flour,frozen vegetables,other vegetables,semi-finished bread,soda,sugar,whipped/sour cream,whole milk"
1112,"dish cleaner,ice cream,jam,newspapers"
1113,"baking powder,bottled beer,canned beer,curd,domestic eggs,newspapers,pork,pudding powder,specialty bar,whole milk,yogurt"
1114,"UHT-milk,brown bread,chicken,chocolate,citrus fruit,dessert,dog food,misc. beverages,root vegetables,salty snack,sausage,shopping bags,white bread"
1115,"butter,other vegetables,root vegetables,turkey,whipped/sour cream,yogurt"
1116,"beverages,bottled water,brown bread,butter milk,canned vegetables,chicken,cream cheese ,frankfurter,hard cheese,liquor,napkins,newspapers,other vegetables,rolls/buns,root vegetables,soda,white bread,zwieback"
1117,"meat,whipped/sour cream,whole milk"
1118,"berries,bottled beer,butter,canned beer,condensed milk,curd,frozen vegetables,hair spray,ham,house keeping products,pastry,pickled vegetables,pip fruit,processed cheese,rolls/buns,sliced cheese,whole milk,yogurt"
1119,"grapes,whole milk"
1120,"UHT-milk,brown bread,chocolate marshmallow,citrus fruit,condensed milk,meat,newspapers,other vegetables,pastry,rice,soda,specialty bar,sugar,tropical fruit,white bread"
1121,"coffee,shopping bags"
1122,"bottled water,chicken,citrus fruit,dishes,frozen vegetables,root vegetables"
1123,"canned vegetables,cling film/bags,frozen vegetables,oil,pip fruit,pork,rolls/buns,soda,whole milk,yogurt"
1124,"bottled beer,hygiene articles,soda,yogurt"
1125,"citrus fruit,condensed milk,margarine,pastry,popcorn,rolls/buns,root vegetables,sausage,shopping bags"
1126,"long life bakery product,misc. beverages,napkins,newspapers,pork,rolls/buns,root vegetables,whipped/sour cream,whole milk"
1127,"UHT-milk,butter,citrus fruit,frankfurter,margarine,other vegetables,pastry,roll products ,rolls/buns,shopping bags,soda"
1128,"coffee,domestic eggs,frankfurter,frozen vegetables,liquor,meat,soda,specialty bar,white bread"
1129,"baking powder,brown bread,cream cheese ,flower (seeds),frozen meals,grapes,shopping bags,specialty chocolate,tea,white wine,whole milk,yogurt"
1130,"bottled water,cream cheese ,dessert,frankfurter,margarine,root vegetables,soda,softener,tropical fruit,yogurt"
1132,"bottled beer,other vegetables,rolls/buns,salty snack,semi-finished bread,shopping bags,soda,whole milk"
1133,"coffee,curd,domestic eggs,napkins,pastry,pork,rice,rolls/buns,sausage,shopping bags,whole milk,yogurt"
1134,"brown bread,cream cheese ,newspapers,oil,other vegetables,pastry,yogurt"
1135,"butter,dessert,hard cheese,other vegetables,sausage,shopping bags,soda,whole milk"
1136,"beef,brown bread,butter milk,citrus fruit,flower (seeds),fruit/vegetable juice,herbs,instant coffee,other vegetables,rolls/buns,root vegetables,shopping bags,tropical fruit,whole milk"
1137,"canned beer,nut snack,other vegetables,sugar,whole milk"
1138,"butter milk,citrus fruit,napkins,rolls/buns,root vegetables,whole milk"
1139,"brown bread,canned beer,misc. beverages,pickled vegetables,pork,rolls/buns,soft cheese,tropical fruit"
1140,"cling film/bags,curd,frankfurter,other vegetables,photo/film,pip fruit,waffles"
1141,"berries,cat food,rolls/buns,soda,tropical fruit,white bread,whole milk,yogurt"
1142,"brown bread,chicken,napkins,newspapers,other vegetables,rolls/buns,soda,soups"
1143,"UHT-milk,misc. beverages,oil,pickled vegetables,pork,soda,spread cheese,sugar,whole milk"
1144,"canned beer,chicken,coffee,domestic eggs,fish,hard cheese,meat,pork,root vegetables,soda,whipped/sour cream,white bread,whole milk"
1145,"bottled beer,brown bread,other vegetables,root vegetables,soda,tropical fruit"
1146,"berries,bottled beer,bottled water,candy,cereals,curd,frozen vegetables,margarine,other vegetables,pip fruit,pork,root vegetables,shopping bags,sliced cheese,soda,soft cheese,waffles,whole milk,yogurt"
1147,"canned fish,detergent,frozen meals,soda,specialty chocolate,whole milk"
1148,"baking powder,dog food,long life bakery product,other vegetables,pork,root vegetables,sausage,shopping bags,sliced cheese,soda,tropical fruit,white bread,whole milk,yogurt"
1149,"bottled beer,chicken,frozen vegetables,seasonal products,soda,yogurt"
1150,"UHT-milk,berries,bottled water,canned beer,fruit/vegetable juice,long life bakery product,other vegetables,pip fruit,rolls/buns,sugar"
1151,"berries,curd,pastry,pip fruit,soft cheese"
1152,"curd cheese,domestic eggs,frozen meals,pork,rolls/buns,soda,whole milk"
1153,"bottled beer,butter,cake bar,canned beer,chewing gum,chicken,dish cleaner,frankfurter,grapes,ice cream,mustard,ready soups,rolls/buns,soft cheese,tropical fruit,whole milk"
1154,"canned beer,citrus fruit,female sanitary products,frozen vegetables,other vegetables,rolls/buns,root vegetables,sausage,whole milk"
1155,"brandy,frankfurter,house keeping products,pet care,sausage,whole milk,yogurt"
1156,"berries,other vegetables"
1157,"UHT-milk,beef,curd,frozen meals,napkins,tropical fruit,whole milk"
1158,"bottled water,butter,citrus fruit,cream cheese ,other vegetables,rolls/buns,root vegetables,whole milk,yogurt"
1159,"citrus fruit,domestic eggs,frozen vegetables,light bulbs,soda"
1160,"beef,bottled beer,butter,chewing gum,coffee,domestic eggs,frozen meals,mustard,pip fruit,root vegetables,shopping bags,tropical fruit,whole milk,yogurt"
1161,"beef,bottled beer,newspapers,other vegetables,spread cheese,whole milk,yogurt"
1162,"berries,canned beer,citrus fruit,coffee,fruit/vegetable juice,male cosmetics,misc. beverages,red/blush wine,salty snack,white bread,yogurt"
1163,"beef,bottled water,citrus fruit,frozen vegetables,newspapers,sausage,white bread,whole milk"
1164,"canned vegetables,other vegetables,root vegetables,sliced cheese,whole milk"
1165,"beef,chocolate,curd,frozen vegetables,house keeping products,packaged fruit/vegetables,pork,spices,whole milk"
1166,"bottled water,brown bread,root vegetables,tropical fruit"
1167,"coffee,domestic eggs,other vegetables,rolls/buns"
1168,"UHT-milk,bottled beer,chocolate,frankfurter,frozen vegetables,herbs,long life bakery product,sweet spreads,whole milk"
1169,"bottled beer,bottled water,cake bar,cleaner,detergent,finished products,liquor,margarine,napkins,newspapers,other vegetables,rolls/buns,soda,waffles,whipped/sour cream,white bread,whole milk"
1170,"bottled water,canned beer,chicken,chocolate,citrus fruit,dog food,pip fruit,pork,rolls/buns,shopping bags,soda,sparkling wine,turkey,whipped/sour cream,whole milk"
1171,"beverages,bottled water,brown bread,onions,other vegetables,pasta,soda,specialty chocolate,whipped/sour cream"
1173,"bottled beer,fruit/vegetable juice,hard cheese,margarine,newspapers,rolls/buns,specialty bar"
1174,"baking powder,citrus fruit,cling film/bags,fruit/vegetable juice,pickled vegetables,pip fruit,rolls/buns,root vegetables,soft cheese,syrup,whipped/sour cream"
1175,"beef,berries,bottled water,brown bread,butter,chocolate,citrus fruit,hamburger meat,oil,other vegetables,pasta,shopping bags,soda,specialty chocolate,white wine,whole milk,yogurt"
1176,"bottled water,curd cheese,domestic eggs,frozen potato products,hard cheese,other vegetables,pastry,soda,sugar,tropical fruit,whole milk"
1177,"brown bread,canned beer,dessert,rolls/buns"
1178,"bottled water,chocolate,coffee,ice cream,jam,oil,other vegetables,pork,salt,shopping bags,tropical fruit"
1179,"cereals,chicken,frozen meals,napkins,soda"
1180,"citrus fruit,frozen potato products,white bread,whole milk"
1181,"bottled beer,dishes,mayonnaise,oil,root vegetables,sausage,white bread,whole milk"
1182,"baking powder,beef,butter,butter milk,candy,canned fish,hamburger meat,ice cream,mustard,pip fruit,red/blush wine,rolls/buns,shopping bags,soft cheese,whole milk"
1183,"bottled beer,brown bread,butter,canned beer,cream cheese ,dessert,domestic eggs,ham,other vegetables,pastry,root vegetables,sausage,spread cheese"
1184,"beef,newspapers,root vegetables,sweet spreads,whole milk"
1185,"beef,canned beer,chewing gum,chocolate,frankfurter,frozen meals,ice cream,pip fruit,specialty bar,whole milk"
1186,"butter,canned fruit,detergent,domestic eggs,other vegetables,soda,white bread,whole milk"
1187,"citrus fruit,domestic eggs,onions,other vegetables,shopping bags,soda"
1188,"bottled beer,bottled water,butter milk,cleaner,other vegetables,rolls/buns,soda,whole milk"
1189,"bottled beer,dessert,sliced cheese,tropical fruit"
1190,"bottled beer,bottled water,canned beer,hamburger meat,meat spreads,other vegetables,pip fruit,rolls/buns,root vegetables,soda,sparkling wine,specialty chocolate,waffles,whipped/sour cream"
1191,"berries,citrus fruit,hamburger meat,other vegetables,specialty chocolate,white bread"
1192,"brown bread,butter,fruit/vegetable juice,pastry,seasonal products"
1193,"citrus fruit,root vegetables,shopping bags,soda"
1194,"bottled water,butter,coffee,honey,napkins,pastry,pip fruit,soda,whole milk"
1195,"butter,finished products,liquor,shopping bags,soft cheese,whole milk"
1196,"bottled beer,candy,domestic eggs,mayonnaise,newspapers,pip fruit,rolls/buns,shopping bags"
1197,"beef,brown bread,chocolate,citrus fruit,misc. beverages,packaged fruit/vegetables,pip fruit,root vegetables,sausage,sliced cheese,waffles,whipped/sour cream,whole milk,yogurt"
1198,"citrus fruit,frozen fish,napkins,newspapers,other vegetables,specialty chocolate"
1199,"beverages,bottled water,canned vegetables,flour,grapes,popcorn,rolls/buns,salty snack,sausage,sugar,white bread,whole milk"
1200,"brown bread,candy,canned fish,citrus fruit,dessert,detergent,rolls/buns,root vegetables"
1201,"candles,coffee,misc. beverages,whole milk"
1202,"coffee,curd cheese,oil,roll products ,rolls/buns,root vegetables,semi-finished bread,soda,yogurt"
1204,"beverages,bottled beer,chicken,chocolate,grapes,pastry,pip fruit,rolls/buns,root vegetables,sliced cheese,soda,softener,waffles,whole milk,yogurt"
1205,"bottled water,chewing gum,curd,oil,ready soups,white bread,whole milk,yogurt"
1206,"candles,cat food,hygiene articles,other vegetables,pastry,rolls/buns,sausage,soda,softener,sugar,tropical fruit,whole milk"
1207,"frankfurter,ham,pickled vegetables,semi-finished bread,shopping bags,whole milk,yogurt"
1208,"beef,bottled water,butter milk,frozen meals,misc. beverages,pork,rolls/buns,shopping bags,soft cheese,tropical fruit,yogurt"
1209,"brown bread,dessert,fruit/vegetable juice,ham,long life bakery product,sausage,shopping bags,specialty cheese,yogurt"
1211,"UHT-milk,butter,domestic eggs,finished products,frankfurter,margarine,other vegetables,rolls/buns,salty snack,specialty bar,tropical fruit,whole milk,yogurt"
1212,"beef,cat food,domestic eggs,other vegetables,root vegetables,salt,tropical fruit"
1213,"beef,bottled beer,brown bread,chicken,citrus fruit,dessert,domestic eggs,fruit/vegetable juice,margarine,newspapers,pork"
1214,"chicken,meat,pip fruit,syrup,waffles,yogurt"
1215,"grapes,other vegetables,pip fruit,root vegetables,sauces,semi-finished bread,shopping bags,sliced cheese,yogurt"
1216,"bottled water,brown bread,canned beer,citrus fruit,long life bakery product,napkins,onions,pastry,root vegetables,soda,specialty fat,tropical fruit,turkey,whole milk"
1217,"bottled water,citrus fruit,dog food,grapes,pastry,sugar,whole milk"
1218,"butter,candles,citrus fruit,cling film/bags,curd,frozen fish,frozen meals,fruit/vegetable juice,meat,other vegetables,pork,rolls/buns,sausage,tropical fruit,whole milk,yogurt"
1219,"brown bread,canned beer,instant coffee,red/blush wine"
1220,"butter milk,canned beer,chocolate,dental care,frankfurter,ice cream,margarine,napkins,onions,pasta,pastry,rice,rolls/buns,sausage,specialty chocolate,waffles"
1221,"bottled water,sugar"
1222,"canned beer,coffee,condensed milk,onions"
1223,"UHT-milk,butter,citrus fruit,flour,ham,packaged fruit/vegetables,rum,semi-finished bread,yogurt"
1224,"UHT-milk,cooking chocolate,sausage,specialty chocolate"
1225,"bottled beer,brown bread,butter milk,curd,dessert,detergent,flour,jam,other vegetables,pastry,photo/film,rolls/buns,seasonal products,shopping bags,sliced cheese,soda,white bread,whole milk"
1226,"beef,citrus fruit,domestic eggs,hard cheese,long life bakery product,pastry,soda,specialty bar,vinegar,white bread"
1227,"whipped/sour cream,yogurt"
1228,"beverages,bottled beer,photo/film"
1229,"beef,brown bread,frozen potato products,ham,mustard,newspapers,whipped/sour cream,white bread"
1230,"butter milk,canned beer,domestic eggs,frankfurter,ham,misc. beverages,other vegetables,pastry,sliced cheese,soda,whole milk"
1231,"detergent,flour,grapes,hard cheese,ice cream,margarine,onions,photo/film,pork,root vegetables,sausage,sliced cheese,soda,whipped/sour cream,white wine,yogurt"
1232,"bottled beer,bottled water,butter,canned beer,grapes,pasta,rolls/buns"
1233,"UHT-milk,butter milk,canned beer,chicken,curd,margarine,other vegetables,rolls/buns,salty snack,shopping bags,soda,waffles,whipped/sour cream,whole milk"
1234,"bottled water,coffee,curd,margarine,pastry,root vegetables,salty snack,shopping bags,yogurt"
1235,"abrasive cleaner,bottled beer,bottled water,butter,canned beer,condensed milk,curd,dog food,other vegetables,processed cheese,roll products ,sausage,shopping bags,soda,spread cheese,waffles"
1236,"cling film/bags,dishes,newspapers,pip fruit,whole milk"
1237,"beverages,butter milk,citrus fruit,cleaner,cream cheese ,ham,hard cheese,misc. beverages,other vegetables,pork,rolls/buns,soda,sugar,tropical fruit,white bread,whole milk"
1238,"frankfurter,margarine"
1239,"bottled beer,bottled water,brown bread,condensed milk,finished products,meat,processed cheese,roll products ,sausage,soda,tropical fruit,waffles,whipped/sour cream,whole milk,yogurt"
1240,"baking powder,frozen fish,frozen vegetables,hard cheese,oil,onions,other vegetables,rolls/buns,sausage,shopping bags,soda,whole milk"
1241,"long life bakery product,margarine,meat,oil,other vegetables,pasta,soda,specialty cheese,specialty chocolate,whole milk"
1242,"beverages,bottled beer,bottled water,butter,chocolate,citrus fruit,dog food,domestic eggs,frozen meals,other vegetables,pasta,sausage,shopping bags,sugar,tropical fruit"
1243,"cling film/bags,soda"
1244,"UHT-milk,bottled water,candy,rolls/buns,salty snack,shopping bags,soda,soft cheese"
1245,"canned fruit,coffee,condensed milk,dessert,grapes,onions,other vegetables,processed cheese,rolls/buns,shopping bags,soda,soft cheese,tropical fruit,turkey,white bread"
1246,"UHT-milk,berries,canned beer,other vegetables,tropical fruit,whipped/sour cream,yogurt"
1247,"butter,candy,frozen vegetables,other vegetables"
1248,"beef,butter,chicken,citrus fruit,curd,dessert,frankfurter,frozen vegetables,margarine,packaged fruit/vegetables,pip fruit,root vegetables,skin care,tropical fruit,whole milk"
1249,"bottled beer,citrus fruit,coffee,frozen meals,soda"
1250,"chewing gum,other vegetables"
1251,"canned beer,dessert,fruit/vegetable juice"
1252,"chicken,dishes,grapes,other vegetables,pastry,pork,pot plants,soda,turkey,whole milk"
1253,"baking powder,liqueur,pastry,processed cheese,sausage,specialty cheese"
1254,"ham,napkins,specialty bar,specialty chocolate,white wine"
1255,"red/blush wine,soda"
1256,"UHT-milk,berries,butter,coffee,domestic eggs,herbs,oil,other vegetables,sausage,sugar,tea"
1257,"cream cheese ,frozen dessert,rolls/buns,yogurt"
1258,"coffee,frozen vegetables,fruit/vegetable juice,rolls/buns,whipped/sour cream,yogurt"
1259,"berries,coffee,fruit/vegetable juice,grapes,hamburger meat,ice cream,napkins,pork,root vegetables,sausage,shopping bags,sliced cheese,whole milk"
1260,"curd,pip fruit,sausage,shopping bags"
1261,"canned vegetables,domestic eggs,flour,flower (seeds),hard cheese,rolls/buns,whole milk"
1262,"frozen meals,onions,organic sausage,pickled vegetables,sugar,whole milk"
1263,"bottled beer,citrus fruit,frozen meals,other vegetables"
1264,"bottled water,butter,curd,mayonnaise,other vegetables,pastry,sausage,semi-finished bread,soda,specialty bar,sugar,tropical fruit,white bread,yogurt"
1265,"UHT-milk,brown bread,canned fish,chicken,citrus fruit,cream cheese ,curd,domestic eggs,hamburger meat,other vegetables,pastry,pip fruit,pork,red/blush wine,root vegetables,shopping bags,soda,specialty chocolate,tropical fruit,waffles,whole milk,yogurt"
1266,"other vegetables,sliced cheese"
1267,"butter,whole milk"
1268,"brown bread,canned fish,margarine,misc. beverages,oil,other vegetables,sauces,white wine,whole milk"
1269,"butter milk,canned fruit,frozen meals,liquor,other vegetables,red/blush wine,rolls/buns,root vegetables,seasonal products,softener,tropical fruit,whole milk"
1270,"cake bar,cereals,citrus fruit,flower soil/fertilizer,napkins,pork"
1272,"cleaner,specialty bar"
1273,"artif. sweetener,pastry,pork,whole milk"
1274,"coffee,cream cheese ,dessert,other vegetables,rolls/buns,specialty cheese,tidbits"
1275,"butter,butter milk,citrus fruit,curd,dental care,dessert,domestic eggs,frozen potato products,hygiene articles,ice cream,mustard,onions,other vegetables,pastry,rolls/buns,root vegetables,salt,sausage,shopping bags,specialty chocolate,white bread,whole milk"
1276,"bottled beer,condensed milk,cream cheese ,dessert,hard cheese,house keeping products,rolls/buns,sausage,semi-finished bread,whole milk,yogurt"
1277,"brown bread,butter,dessert,frankfurter,other vegetables,photo/film,pot plants,rolls/buns,sausage,shopping bags,whipped/sour cream,white bread,whole milk,yogurt"
